theta,mu,source_current_a,max_abs_sin_phi,max_abs_phi,min_cos_phi,strongest_branch,state_norm,pump_node_flux,time_s
180.99999999998036,4.2095681048643605e-06,4.2095681048643605e-06,0.775020656946707,0.8867477827020254,0.6319358996812057,1386,6.957599781536903,-5.704516330300651e-15,3.646461354383535e-09
181.00999999998035,4.321729923334505e-06,4.321729923334505e-06,0.7738146239216697,0.8848415361508644,0.633412131084466,1386,6.956239707326196,-5.6831746008127464e-15,3.6466628163368162e-09
181.01999999998034,4.433459572413746e-06,4.433459572413746e-06,0.7731650553065855,0.8838166704923833,0.634204854327657,1387,6.954831556871841,-5.661264472881383e-15,3.646864278290097e-09
181.02999999998033,4.544745879230284e-06,4.544745879230284e-06,0.7727930741518501,0.8832303484598909,0.6346580689969468,1387,6.953375880122314,-5.638788095490572e-15,3.6470657402433776e-09
181.03999999998032,4.655577715246175e-06,4.655577715246175e-06,0.7723437811906947,0.8825227240880068,0.6352047572681271,1387,6.9518732453885725,-5.615747577742351e-15,3.6472672021966582e-09
181.04999999998032,4.765943997370178e-06,4.765943997370178e-06,0.771817285201831,0.8816942809658025,0.6358443821122236,1387,6.9503242390867825,-5.5921451431057336e-15,3.647468664149939e-09
181.0599999999803,4.8758336890660505e-06,4.8758336890660505e-06,0.771213678035772,0.8807455269875877,0.6365763605495703,1387,6.948729464969601,-5.5679831131159805e-15,3.6476701261032196e-09
181.0699999999803,4.9852358014562e-06,4.9852358014562e-06,0.7705330350276011,0.8796769939595822,0.6374000642698067,1387,6.9470895437269755,-5.543263750832216e-15,3.6478715880565003e-09
181.0799999999803,5.094139394420553e-06,5.094139394420553e-06,0.769775415466371,0.8784892372259137,0.6383148202443494,1387,6.945405112795229,-5.517989489121139e-15,3.648073050009781e-09
181.08999999998028,5.202533577690567e-06,5.202533577690567e-06,0.7689408631197139,0.8771828353141018,0.6393199113313377,1387,6.94367682547108,-5.492162802241651e-15,3.6482745119630616e-09
