frequency_ghz,signal_power_dbm,gain_db,compression_db,observed_pump_depletion_db_port2,required_depletion_db,observed_minus_required_db,converted_fraction_relative_port2_pump,pump_port_reference_power_w,status
6.257,-102.68726657994631,8.717280904082987,0.07095301166857126,-0.023080600505190674,0.0297697077064546,-0.05285030821164527,0.005300407670043805,1.184805698559986e-10,VALID_SOLVED
6.257,-97.35393324661295,8.550506186698668,0.23772772905289052,-0.0751703896483793,0.10081995281644593,-0.17599034246482523,0.01715968818536473,1.184805698559986e-10,VALID_SOLVED
6.257,-92.02059991327963,8.024330657736355,0.763903258015203,-0.21990952169718447,0.3350208621012095,-0.554930383798394,0.04937540180833999,1.184805698559986e-10,VALID_SOLVED
6.257,-86.68726657994628,6.581529675453991,2.206704240297567,-0.45990393279144826,1.0511116502293156,-1.5110155830207639,0.10048252110053091,1.184805698559986e-10,VALID_SOLVED
6.257,-81.35393324661295,3.374141901712301,5.414092014039257,-0.20462346644942997,2.8668160590969727,-3.0714395255464026,0.04602355093412225,1.184805698559986e-10,VALID_SOLVED
6.257,-76.02059991327963,-0.17874457819916234,8.96697849395072,1.002001004880837,6.224847643156586,-5.222846638275749,-0.259505593313172,1.184805698559986e-10,VALID_SOLVED
6.49,-156.02059991327963,12.869660230822157,0.0,-2.6074275893961385e-07,3.548731865442575e-07,-6.156159454838714e-07,6.003823715960976e-08,1.184805698559986e-10,VALID_SOLVED
6.49,-150.68726657994628,12.869658916065724,1.3147564335014295e-06,-8.90354629135004e-07,1.21173172125149e-06,-2.102086350386494e-06,2.0501170860942608e-07,1.184805698559986e-10,VALID_SOLVED
6.49,-145.35393324661297,12.86965442671317,5.804108987206291e-06,-3.0401925936729413e-06,4.137515789586771e-06,-7.1777083832597125e-06,7.000299695469892e-07,1.184805698559986e-10,VALID_SOLVED
6.49,-140.02059991327963,12.869639097648333,2.1133173824239293e-05,-1.0380889319705489e-05,1.412773363148569e-05,-2.4508622951191177e-05,2.3902852431811894e-06,1.184805698559986e-10,VALID_SOLVED
6.49,-134.6872665799463,12.869586756154817,7.347466734053398e-05,-3.544570695090954e-05,4.823964750915804e-05,-8.368535446006758e-05,8.161642337189967e-06,1.184805698559986e-10,VALID_SOLVED
6.49,-129.35393324661294,12.869408037467661,0.0002521933544965549,-0.00012102666946667284,0.00016471442529007607,-0.00028574109475674894,2.786703220392095e-05,1.184805698559986e-10,VALID_SOLVED
6.49,-124.02059991327963,12.868797839309709,0.0008623915124488235,-0.00041319945947471126,0.0005623997048413672,-0.0009755991643160785,9.513816565964728e-05,1.184805698559986e-10,VALID_SOLVED
6.49,-118.68726657994628,12.866715026019698,0.0029452048024598554,-0.0014102468120213985,0.001920041130478565,-0.0033302879424999634,0.0003246686124158682,1.184805698559986e-10,VALID_SOLVED
6.49,-113.35393324661297,12.859610835850788,0.010049394971369807,-0.004807996943117843,0.00655257802384839,-0.011360574966966233,0.0011064696194129642,1.184805698559986e-10,VALID_SOLVED
6.49,-108.02059991327963,12.83544297671498,0.03421725410717791,-0.0163318277642599,0.022333462138883826,-0.038665289903143725,0.003753480330951353,1.184805698559986e-10,VALID_SOLVED
6.49,-102.68726657994631,12.753948395610406,0.11571183521175143,-0.054790488491759604,0.07578993420559467,-0.13058042269735426,0.012536728389033636,1.184805698559986e-10,VALID_SOLVED
6.49,-97.35393324661295,12.48697622454338,0.38268400627877774,-0.1764333833468399,0.2535143200273395,-0.42994770337417937,0.03981114301293853,1.184805698559986e-10,VALID_SOLVED
6.49,-92.02059991327963,11.685187500841998,1.1844727299801594,-0.5013785070784991,0.810781154972099,-1.3121596620505982,0.1090319115944074,1.184805698559986e-10,VALID_SOLVED
6.49,-86.68726657994628,9.727373844514029,3.142286386308129,-1.026142017261785,2.306648394623213,-3.332790411884998,0.21043880027595852,1.184805698559986e-10,VALID_SOLVED
6.49,-81.35393324661295,6.112285151531459,6.757375079290698,-0.8534196010019226,5.305929303234224,-6.159348904236147,0.17840452270313867,1.184805698559986e-10,VALID_SOLVED
6.49,-76.02059991327963,0.9308261813730605,11.938834049449097,1.0749142923028163,9.624288841024883,-8.549374548722067,-0.2808298172044408,1.184805698559986e-10,VALID_SOLVED
6.71,-156.02059991327963,13.609190634932698,0.0,-3.58014871082446e-07,4.2075203411038044e-07,-7.787669051928264e-07,8.243596716361878e-08,1.184805698559986e-10,VALID_SOLVED
6.71,-150.68726657994628,13.609189098198662,1.5367340360228354e-06,-1.2224949674788377e-06,1.4366782146948636e-06,-2.6591731821737013e-06,2.8148982922360233e-07,1.184805698559986e-10,VALID_SOLVED
6.71,-145.35393324661297,13.609183851015555,6.783917143593499e-06,-4.1743007344052785e-06,4.905606020519325e-06,-9.079906754924603e-06,9.611678025711612e-07,1.184805698559986e-10,VALID_SOLVED
6.71,-140.02059991327963,13.60916593430461,2.4700628088680787e-05,-1.4253342071057773e-05,1.675040867050965e-05,-3.1003750741567424e-05,3.281947912214811e-06,1.184805698559986e-10,VALID_SOLVED
6.71,-134.6872665799463,13.609104757322061,8.587761063694188e-05,-4.8668211681146545e-05,5.719482274285429e-05,-0.00010586303442400083,1.1206207081948527e-05,1.184805698559986e-10,VALID_SOLVED
6.71,-129.35393324661294,13.608895871450269,0.00029476348242951644,-0.00016617352481951286,0.0001952914126164521,-0.00036146493743596493,3.8262136095812416e-05,1.184805698559986e-10,VALID_SOLVED
6.71,-124.02059991327963,13.608182689446087,0.0010079454866112059,-0.0005673319021823886,0.0006667958751185725,-0.0012341277773009612,0.0001306244659559086,1.184805698559986e-10,VALID_SOLVED
6.71,-118.68726657994628,13.605748631992123,0.003442002940575506,-0.001936244102809681,0.0022763852027397665,-0.004212629305549448,0.00044573731034802666,1.184805698559986e-10,VALID_SOLVED
6.71,-113.35393324661297,13.597449188787927,0.011741446144771572,-0.006600672582687039,0.007767914877219085,-0.014368587459906124,0.0015187066254074288,1.184805698559986e-10,VALID_SOLVED
6.71,-108.02059991327963,13.56924768853405,0.03994294639864826,-0.022414166947573477,0.026466848431875575,-0.048881015379449055,0.0051477573187133085,1.184805698559986e-10,VALID_SOLVED
6.71,-102.68726657994631,13.474516941408618,0.1346736935240802,-0.07512252188219826,0.08971521357509156,-0.1648377354572898,0.017148855298585675,1.184805698559986e-10,VALID_SOLVED
6.71,-97.35393324661295,13.167973418125689,0.44121721680700965,-0.24135544768894945,0.29899065540088005,-0.5403461030898296,0.054058116354704366,1.184805698559986e-10,VALID_SOLVED
6.71,-92.02059991327963,12.279028216245237,1.3301624186874612,-0.6868697304934503,0.9459547001149066,-1.6328244306083568,0.1462847743470561,1.184805698559986e-10,VALID_SOLVED
6.71,-86.68726657994628,10.246334811278173,3.3628558236545256,-1.4606967359405552,2.6267665468292707,-4.087463282769826,0.28561829093219715,1.184805698559986e-10,VALID_SOLVED
6.71,-81.35393324661295,6.841861753891094,6.767328881041604,-1.728719298996408,5.840282248024798,-7.569001547021206,0.3283731186755826,1.184805698559986e-10,VALID_SOLVED
6.71,-76.02059991327963,0.2810396651778891,13.328150969754809,0.9527021127820294,10.28903518383508,-9.336333071053051,-0.24528917035867392,1.184805698559986e-10,VALID_SOLVED
6.943,-156.02059991327963,13.636479953032588,0.0,-3.916115023372413e-07,4.2340419378973483e-07,-8.150156961269762e-07,9.017187663218351e-08,1.184805698559986e-10,VALID_SOLVED
6.943,-150.68726657994628,13.636478689824962,1.2632076256124947e-06,-1.3372123408572634e-06,1.4457341434251325e-06,-2.782946484282396e-06,3.079044728071523e-07,1.184805698559986e-10,VALID_SOLVED
6.943,-145.35393324661297,13.63647437652897,5.5765036179877825e-06,-4.566009534912041e-06,4.936527906550576e-06,-9.502537441462617e-06,1.051361996240452e-06,1.184805698559986e-10,VALID_SOLVED
6.943,-140.02059991327963,13.636459648587936,2.030444465184189e-05,-1.559085962732354e-05,1.6855992672067315e-05,-3.2446852299390854e-05,3.589921652724648e-06,1.184805698559986e-10,VALID_SOLVED
