ratio,flux_over_flux0,equilibrium_flux_rad,g1_over_Ic,g2_over_Ic,g3_over_Ic,g3_over_g1,status
0.025,0.33,2.005418118333209,0.3227209395296775,,-0.004416804860506771,-0.01368614279241896,STABLE
0.025,0.34,2.070446451474482,0.32127510731086906,,-0.004175026191732615,-0.012995174841519288,STABLE
0.025,0.35,2.1357647359168466,0.3198742885132663,,-0.003940675215251074,-0.0123194497237237,STABLE
0.025,0.36,2.201365698198745,0.3185252533316958,,-0.0037148945795551884,-0.011662794521622085,STABLE
0.025,0.37,2.2672404271360564,0.31723467916669307,,-0.0034988128807891847,-0.011029099624227117,STABLE
0.025,0.38,2.3333783543423254,0.31600910236684815,,-0.00329353636566088,-0.010422283222201255,STABLE
0.025,0.39,2.3997672507381895,0.314854867644156,,-0.0031001402081773893,-0.009846251485243413,STABLE
0.025,0.4,2.4663932407836917,0.31377807576773775,,-0.002919659465760956,-0.00930485489981181,STABLE
0.025,0.41000000000000003,2.5332408359241128,0.31278453025776587,,-0.002753079841229292,-0.008801841443246817,STABLE
0.025,0.42000000000000004,2.600292988421596,0.3118796839081942,,-0.002601328396368659,-0.008340807467069234,STABLE
0.025,0.43000000000000005,2.667531166312907,0.3110685860582398,,-0.00246526437935854,-0.007925147346434337,STABLE
0.025,0.44,2.7349354497754255,0.3103558316010283,,-0.002345670340776026,-0.007558003111059487,STABLE
0.025,0.45,2.8024846486235107,0.3097455127587297,,-0.0022432437204760146,-0.007242215393200372,STABLE
0.025,0.46,2.8701564400814115,0.3092411746608559,,-0.0021585890892169258,-0.006980277097913128,STABLE
0.025,0.47000000000000003,2.9379275253778614,0.30884577573297955,,-0.0020922112239005184,-0.006774291210346334,STABLE
0.025,0.48000000000000004,3.005773803115929,0.3085616538349734,,-0.002044509183353991,-0.006625934097590255,STABLE
0.025,0.49,3.0736705568211513,0.30839049898127524,,-0.0020157715327493767,-0.006536425536481167,STABLE
0.025,0.5,3.141592653589793,0.3083333333333333,,-0.002006172839506172,-0.006506506506506505,STABLE
0.03,0.2,1.173631933806409,0.34480990203160006,,-0.008104501948165185,-0.023504261044749373,STABLE
0.03,0.21000000000000002,1.2344990824778581,0.3430994616453286,,-0.007820333839968443,-0.02279319764148315,STABLE
0.03,0.22,1.2956734651408501,0.34134433006631354,,-0.007528592097782072,-0.022055711592805657,STABLE
0.03,0.23,1.357165924644632,0.3395503196342857,,-0.007230231832569827,-0.021293550364956754,STABLE
0.03,0.24000000000000002,1.4189865186160266,0.33772355273531135,,-0.006926261522115001,-0.020508671859032032,STABLE
