Frequency_GHz,Insertion_Loss_dB
16.060000,-65.4731
16.080000,-65.4842
16.100000,-65.4952
16.120000,-65.5062
16.140000,-65.5172
16.160000,-65.5282
16.180000,-65.5392
16.200000,-65.5502
16.220000,-65.5612
16.240000,-65.5722
16.260000,-65.5832
16.280000,-65.5942
16.300000,-65.6052
16.320000,-65.6161
16.340000,-65.6271
16.360000,-65.6381
16.380000,-65.6490
16.400000,-65.6600
16.420000,-65.6709
16.440000,-65.6819
16.460000,-65.6928
16.480000,-65.7037
16.500000,-65.7147
16.520000,-65.7256
16.540000,-65.7365
16.560000,-65.7474
16.580000,-65.7583
16.600000,-65.7692
16.620000,-65.7801
16.640000,-65.7910
16.660000,-65.8019
16.680000,-65.8128
16.700000,-65.8237
16.720000,-65.8345
16.740000,-65.8454
16.760000,-65.8563
16.780000,-65.8671
16.800000,-65.8780
16.820000,-65.8888
16.840000,-65.8997
16.860000,-65.9105
16.880000,-65.9213
16.900000,-65.9322
16.920000,-65.9430
16.940000,-65.9538
16.960000,-65.9646
16.980000,-65.9754
17.000000,-65.9862
17.020000,-65.9970
17.040000,-66.0078
17.060000,-66.0186
17.080000,-66.0294
17.100000,-66.0402
17.120000,-66.0510
17.140000,-66.0618
17.160000,-66.0725
17.180000,-66.0833
17.200000,-66.0941
17.220000,-66.1048
17.240000,-66.1156
17.260000,-66.1263
17.280000,-66.1370
17.300000,-66.1478
17.320000,-66.1585
17.340000,-66.1692
17.360000,-66.1800
17.380000,-66.1907
17.400000,-66.2014
17.420000,-66.2121
17.440000,-66.2228
17.460000,-66.2335
17.480000,-66.2442
17.500000,-66.2549
17.520000,-66.2656
17.540000,-66.2763
17.560000,-66.2869
17.580000,-66.2976
17.600000,-66.3083
17.620000,-66.3189
17.640000,-66.3296
17.660000,-66.3403
17.680000,-66.3509
17.700000,-66.3616
17.720000,-66.3722
17.740000,-66.3828
17.760000,-66.3935
17.780000,-66.4041
17.800000,-66.4147
17.820000,-66.4253
17.840000,-66.4359
17.860000,-66.4466
17.880000,-66.4572
17.900000,-66.4678
17.920000,-66.4784
